Date,0,1,2,3,4
2020-01-24,0.0,0.0,0.0,0.0,1.0
2020-01-25,0.0,0.0,0.0,1.0,0.0
2020-01-26,0.0,0.0,1.0,0.0,-1.0
2020-01-27,0.0,1.0,0.0,-1.0,-1.0
2020-01-28,1.0,0.0,-1.0,-1.0,6.0
2020-01-29,0.0,-1.0,-1.0,6.0,-6.0
2020-01-30,-1.0,-1.0,6.0,-6.0,0.0
2020-01-31,-1.0,6.0,-6.0,0.0,5.0
2020-02-01,6.0,-6.0,0.0,5.0,-5.0
2020-02-02,-6.0,0.0,5.0,-5.0,0.0
2020-02-03,0.0,5.0,-5.0,0.0,0.0
2020-02-04,5.0,-5.0,0.0,0.0,6.0
2020-02-05,-5.0,0.0,0.0,6.0,-6.0
2020-02-06,0.0,0.0,6.0,-6.0,0.0
2020-02-07,0.0,6.0,-6.0,0.0,0.0
2020-02-08,6.0,-6.0,0.0,0.0,7.0
2020-02-09,-6.0,0.0,0.0,7.0,-7.0
2020-02-10,0.0,0.0,7.0,-7.0,0.0
2020-02-11,0.0,7.0,-7.0,0.0,1.0
2020-02-12,7.0,-7.0,0.0,1.0,-1.0
2020-02-13,-7.0,0.0,1.0,-1.0,0.0
2020-02-14,0.0,1.0,-1.0,0.0,0.0
2020-02-15,1.0,-1.0,0.0,0.0,0.0
2020-02-16,-1.0,0.0,0.0,0.0,1.0
2020-02-17,0.0,0.0,0.0,1.0,0.0
2020-02-18,0.0,0.0,1.0,0.0,-1.0
2020-02-19,0.0,1.0,0.0,-1.0,0.0
2020-02-20,1.0,0.0,-1.0,0.0,0.0
2020-02-21,0.0,-1.0,0.0,0.0,0.0
2020-02-22,-1.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,2.0
2020-02-26,0.0,0.0,0.0,2.0,1.0
2020-02-27,0.0,0.0,2.0,1.0,-3.0
2020-02-28,0.0,2.0,1.0,-3.0,1.0
2020-02-29,2.0,1.0,-3.0,1.0,0.0
2020-03-01,1.0,-3.0,1.0,0.0,-1.0
2020-03-02,-3.0,1.0,0.0,-1.0,1.0
2020-03-03,1.0,0.0,-1.0,1.0,-1.0
2020-03-04,0.0,-1.0,1.0,-1.0,0.0
2020-03-05,-1.0,1.0,-1.0,0.0,4.0
2020-03-06,1.0,-1.0,0.0,4.0,-3.0
2020-03-07,-1.0,0.0,4.0,-3.0,1.0
2020-03-08,0.0,4.0,-3.0,1.0,-2.0
2020-03-09,4.0,-3.0,1.0,-2.0,0.0
2020-03-10,-3.0,1.0,-2.0,0.0,3.0
2020-03-11,1.0,-2.0,0.0,3.0,3.0
2020-03-12,-2.0,0.0,3.0,3.0,5.0
2020-03-13,0.0,3.0,3.0,5.0,-6.0
2020-03-14,3.0,3.0,5.0,-6.0,2.0
2020-03-15,3.0,5.0,-6.0,2.0,25.0
2020-03-16,5.0,-6.0,2.0,25.0,1.0
2020-03-17,-6.0,2.0,25.0,1.0,-3.0
2020-03-18,2.0,25.0,1.0,-3.0,5.0
2020-03-19,25.0,1.0,-3.0,5.0,25.0
2020-03-20,1.0,-3.0,5.0,25.0,-10.0
2020-03-21,-3.0,5.0,25.0,-10.0,39.0
2020-03-22,5.0,25.0,-10.0,39.0,99.0
2020-03-23,25.0,-10.0,39.0,99.0,-66.0
2020-03-24,-10.0,39.0,99.0,-66.0,-16.0
2020-03-25,39.0,99.0,-66.0,-16.0,1.0
2020-03-26,99.0,-66.0,-16.0,1.0,4.0
2020-03-27,-66.0,-16.0,1.0,4.0,-20.0
